filename	count_mme	count_mlle	total
1896-0351	0	0	0
1896-0352	0	0	0
1896-0353	0	0	0
1896-0354	0	0	0
1890-0243	0	0	0
1887-0054	0	0	0
1887-0053	0	0	0
1896-0332	0	0	0
1896-0381	0	0	0
1896-0347	0	0	0
1896-0383	0	0	0
1896-0365	0	0	0
1896-0386	0	0	0
1896-0375	0	0	0
1896-0376	0	0	0
1896-0377	0	0	0
1896-0378	0	0	0
1896-0379	0	0	0
1896-0380	0	0	0
1896-0382	0	0	0
1896-0396	0	0	0
1896-0385	0	0	0
1896-0398	0	0	0
1896-0387	0	0	0
1896-0366	0	0	0
1896-0389	0	0	0
1896-0390	0	0	0
1896-0391	0	0	0
1896-0392	0	0	0
1896-0393	0	0	0
1896-0394	0	0	0
1896-0298	0	0	0
1888-0310	0	0	0
1888-0307	0	0	0
1896-0310	0	0	0
1888-0348	0	0	0
1888-0261	0	0	0
1888-0350	0	0	0
1888-0260	0	0	0
1888-0262	0	0	0
1888-0263	0	0	0
1888-0264	0	0	0
1888-0296	0	0	0
1888-0298	0	0	0
1888-0362	0	0	0
1888-0299	0	0	0
1888-0330	0	0	0
1888-0331	0	0	0
1888-0332	0	0	0
1888-0333	0	0	0
1888-0334	0	0	0
1888-0340	0	0	0
1888-0341	0	0	0
1888-0342	0	0	0
1888-0343	0	0	0
1888-0344	0	0	0
1888-0345	0	0	0
1888-0346	0	0	0
1888-0295	0	0	0
1896-0306	0	0	0
1896-0303	0	0	0
1888-0254	0	0	0
1896-0309	0	0	0
1888-0256	0	0	0
1888-0259	0	0	0
1888-0258	0	0	0
1888-0268	0	0	0
1888-0267	0	0	0
1888-0266	0	0	0
1888-0251	0	0	0
1888-0239	0	0	0
1888-0240	0	0	0
1888-0241	0	0	0
1888-0242	0	0	0
1888-0243	0	0	0
1888-0244	0	0	0
1888-0245	0	0	0
1888-0246	0	0	0
1888-0247	0	0	0
1888-0248	0	0	0
1888-0249	0	0	0
1888-0250	0	0	0
1888-0252	0	0	0
1888-0265	0	0	0
1888-0253	0	0	0
1888-0347	0	0	0
1888-0255	0	0	0
1888-0349	0	0	0
1888-0257	0	0	0
1896-0305	0	0	0
1888-0321	0	0	0
1888-0352	0	0	0
1896-0308	0	0	0
1888-0324	0	0	0
1888-0354	0	0	0
1888-0315	0	0	0
1888-0316	0	0	0
1888-0317	0	0	0
1888-0318	0	0	0
1888-0319	0	0	0
1888-0320	0	0	0
1888-0322	0	0	0
1896-0304	0	0	0
1888-0323	0	0	0
1888-0325	0	0	0
1896-0307	0	0	0
1892-0301	0	0	0
1892-0302	0	0	0
1892-0303	0	0	0
1896-0329	0	0	0
1896-0301	0	0	0
1896-0302	0	0	0
1888-0314	0	0	0
1888-0326	0	0	0
1888-0306	0	0	0
1888-0359	0	0	0
1888-0351	0	0	0
1888-0309	0	0	0
1888-0329	0	0	0
1888-0353	0	0	0
1888-0313	0	0	0
1888-0312	0	0	0
1888-0355	0	0	0
1888-0356	0	0	0
1888-0357	0	0	0
1888-0358	0	0	0
